"Family","Fish","Sex","SL","BD","Spine_1","Spine_1_w_0","Spine_2"
"3","3-1","M",NA,NA,NA,NA,NA
"3","3-2","M",NA,NA,NA,NA,NA
"3","3-3","F",38.48,8.94,3.26667,3.26667,4.26667
"3","3-4","F",36.9,9.3,2.86667,2.86667,0.73333
"3","3-5","M",32.36,8.16,NA,NA,NA
"3","3-6","F",33.04,8.04,NA,NA,NA
"3","3-7","F",32.6,7.8,2.26667,2.26667,2.86667
"3","3-8","F",33.42,7.72,NA,NA,NA
"3","3-9","F",34.64,8.62,NA,NA,NA
"3","3-10","M",37.42,9.1,1.86667,1.86667,2.93333
"3","3-11","M",34.92,9.02,2,2,2.93333
"3","3-12","F",34.7,8.86,3,3,3.8
"3","3-13","F",32.42,7.54,NA,NA,NA
"3","3-14","F",42.48,10.94,3.93333,3.93333,4.4
"3","3-15","F",35.38,7.32,NA,NA,NA
"3","3-16","M",32.1,8,NA,NA,NA
"3","3-17","M",29.64,7.28,NA,NA,NA
"3","3-18","M",38.7,9.34,NA,NA,NA
"3","3-19","F",36.22,9.02,2.66667,2.66667,3.4
"3","3-20","F",39.5,8.94,NA,NA,NA
"3","3-21","F",38.48,8.78,NA,NA,NA
"3","3-22","F",36.54,9.52,NA,NA,NA
"3","3-23","F",36.8,8.46,NA,NA,NA
"3","3-24","F",32.38,7.3,NA,NA,NA
"3","3-25","F",43.16,10.1,NA,NA,NA
"3","3-26","M",38.4,9.9,NA,NA,NA
"3","3-27","F",35.8,8.36,3.06667,3.06667,3.86667
"3","3-28","F",39.66,9.36,2.66667,2.66667,3.6
"3","3-29","F",37.3,8.46,NA,NA,NA
"3","3-30","F",36.8,8.56,NA,NA,NA
"3","3-31","F",37.54,8.5,NA,NA,NA
"3","3-32","M",32.9,7.86,NA,NA,NA
"3","3-33","M",32.78,8.24,NA,NA,NA
"3","3-34","F",37.78,9.3,NA,NA,NA
"3","3-35","F",41.72,9.28,NA,0,4.93333
"3","3-36","M",39.5,10.5,3.46667,3.46667,4.33333
"3","3-37","F",36.28,8.24,2.73333,2.73333,3.46667
"3","3-38","M",31.74,8.26,NA,NA,NA
"3","3-39","F",37.82,8.6,NA,NA,NA
"3","3-40","F",34.52,8.28,NA,NA,NA
"3","3-41","M",38.5,9.94,NA,NA,NA
"3","3-42","M",35.96,8.66,NA,NA,NA
"3","3-43","F",34.22,8.3,2.46667,2.46667,3.06667
"3","3-44",NA,39.32,9.44,NA,NA,NA
"3","3-45","F",35.06,8.62,2.66667,2.66667,3.26667
"3","3-46","F",45.46,11.4,NA,0,4.73333
"3","3-47","M",34,8.3,2.26667,2.26667,2.93333
"3","3-48","M",35.78,8.8,2.93333,2.93333,3.46667
"3","3-49","F",33.94,8.74,NA,NA,NA
"3","3-50","M",41.78,11.46,NA,NA,NA
"3","3-51","F",40.6,10.58,2.6,2.6,3.6
"3","3-52","M",36.12,9.58,3.13333,3.13333,4
"3","3-53","F",43.38,10.88,NA,NA,NA
"3","3-54","M",41.54,11.08,NA,NA,NA
"3","3-55","F",33.6,8,2,2,2.86667
"3","3-56","M",36.46,8.78,NA,NA,NA
"3","3-57","F",39.32,9.46,NA,NA,NA
"3","3-58","F",32.88,8.16,NA,NA,NA
"3","3-59","M",37.46,9.143,NA,NA,NA
"3","3-60","F",35.9,8.9,2.86667,2.86667,3.53333
"3","3-61","F",33.66,8.72,NA,NA,NA
"3","3-62","F",36.86,9.02,NA,NA,NA
"3","3-63","F",31.94,8.02,NA,NA,NA
"3","3-64",NA,38.46,9.36,2.8,2.8,3.26667
"3","3-65","F",40.46,10.38,NA,NA,NA
"3","3-66","M",37.58,9.28,NA,NA,NA
"3","3-67","F",42.52,10.3,NA,NA,NA
"3","3-68","F",34.22,8.8,NA,NA,NA
"3","3-69","F",40.1,10.06,NA,NA,NA
"3","3-70",NA,41.42,10.48,NA,NA,NA
"3","3-71",NA,41.14,10.12,NA,NA,NA
"3","3-72",NA,30.4,7.76,NA,NA,NA
"3","3-73",NA,38.42,8.14,1.26667,1.26667,3.6
"3","3-74",NA,41.82,10.54,NA,NA,NA
"3","3-75",NA,39.04,10.52,NA,NA,NA
